contig	nsnp	meancov	nt.hit	nt.evalue	bac.hit	bac.evalue	vir.hit	vir.evalue	co.hit	co.evalue	sp.hit	sp.evalue	tr.hit	tr.evalue
BC_104482_1_2_3_4	1	6	CP009509.1	0.17	NA	NA	AP014168_1_43796	0.52	NA	NA	NA	NA	NA	NA
BC_1101559_1_2_3_4	5	5	XM_015923249.1	2.67e-71	NA	NA	HE600015_1_152427	0.92	Stylophora_pistillata_11241	6.26e-18	sp|P21328|RTJK_DROME	6.56e-07	tr|W4YGL1|W4YGL1_STRPU	1.08e-68
BC_1111080_1_2_3_4	2	6	XM_002678546.1	0.13	NA	NA	NC_019444_1_176043	0.11	Stylophora_pistillata_13596	5.41e-22	sp|Q6CXN0|YNG2_KLULA	0.000102	tr|A7SUN7|A7SUN7_NEMVE	4.6e-58
BC_1123747_1_2_3_4	1	7	XM_015904555.1	7.08e-142	CP000246.1	0.004	AP014336_1_31907	0.26	Seriatopora_sp_3101	3.76e-14	sp|Q7L0X0|TRIL_HUMAN	0.095	tr|C3ZN82|C3ZN82_BRAFL	1.22e-34
BC_1154956_1_2_3_4	2	7	XM_015892774.1	4.62e-08	CP006837.1	0.083	AP014406_1_7243	0.34	NA	NA	NA	NA	NA	NA
BC_1177023_1_2_3_4	2	5	XM_015902871.1	7.27e-25	CP011393.1	0.006	NC_013644_1_37856	0.33	Acropora_millepora_29609	0.29	sp|B5YHI4|AROB_THEYD	0.051	tr|A0A1S8GQN0|A0A1S8GQN0_9PROT	6
BC_1309150_1_2_3_4	1	5	XM_015910282.1	8.3e-18	CP011154.1	0.1	NC_025440_1_134369	0.029	Acropora_millepora_12522	2.25e-09	NA	NA	tr|U1FR62|U1FR62_9STAP	1.8
BC_1351092_1_2_3_4	6	5	LT594632.1	0.55	CP015010.1	0.11	GU075905_1_183806	0.45	NA	NA	NA	NA	NA	NA
BC_1364029_1_2_3_4	1	5	AL158839.11	0.026	AP010935.1	0.29	NA	NA	NA	NA	NA	NA	NA	NA
BC_1398335_1_2_3_4	4	5	AY223061.1	0.002	CP001100.1	0.097	AP014367_1_32607	0.028	NA	NA	NA	NA	NA	NA
BC_1495792_1_2_3_4	4	5	AP015044.1	0.062	CP000786.1	0.69	gi|408905858|ref|NC_018863.1|_1_162596_1_162596	0.001	Montastraea_cavernosa_44219	7.92e-80	sp|P27401|POL_SFV3L	2.49e-08	tr|A0A147BPM6|A0A147BPM6_IXORI	0
BC_1531619_1_2_3_4	1	6	HE601631.1	0.022	CP018822.1	0.93	NA	NA	Pocillopora_damicornis_19775	0.098	sp|Q9UHW5|GPN3_HUMAN	1.32e-63	tr|A7SY87|A7SY87_NEMVE	1.92e-75
BC_1533796_1_2_3_4	1	5	XM_015924826.1	2.26e-10	NA	NA	JN831653_1_58076	0.091	NA	NA	NA	NA	NA	NA
BC_1666634_1_2_3_4	1	6	HF933227.1	0.025	CP003067.1	0.019	AP013820_1_29113	0.3	NA	NA	NA	NA	NA	NA
BC_1837123_1_2_3_4	4	5	XM_015906675.1	7.68e-28	AP014635.1	0.25	AP014314_1_36813	0.27	Fungia_scutaria_66721	5.66e-19	sp|P0C2F6|RNHX1_ARATH	3.23e-06	tr|Q76IK4|Q76IK4_CIOIN	1.45e-39
BC_203578_1_2_3_4	4	5	HF933229.1	0.59	NA	NA	AP014493_1_13287	0.49	Seriatopora_sp_16119	4.15e-06	sp|P78575|ERG24_ASCIM	0.42	tr|A0A1S3ITD5|A0A1S3ITD5_LINUN	2.72e-85
BC_2054354_1_2_3_4	2	5	JN600220.1	3.62e-08	CP015010.1	0.93	gi|514343178|gb|KC821632.1|_1_145865_1_145865	0.019	Seriatopora_sp_18817	4.02e-06	sp|Q18DN4|HMU_HALWD	0.33	NA	NA
BC_2102217_1_2_3_4	1	7	AP014960.1	0.003	CU207366.1	0.11	contig00001_1_96337_1_96337	0.11	Porites_lobata_1679	3.83e-54	sp|P08548|LIN1_NYCCO	7.58e-39	tr|A0A0R4IFG0|A0A0R4IFG0_DANRE	1.02e-65
